district,date,month,year,visitors
Karimnagar ,01-06-2017,June,2017,10542
Karimnagar ,01-07-2017,July,2017,12350
Karimnagar ,01-08-2017,August,2017,10952
Karimnagar ,01-09-2017,September,2017,7576
Karimnagar ,01-10-2017,October,2017,8371
Karimnagar ,01-11-2017,November,2017,8705
Karimnagar ,01-12-2017,December,2017,13065
Khammam,01-01-2017,January,2017,132528
Khammam,01-02-2017,February,2017,115470
Khammam,01-03-2017,March,2017,101878
Khammam,01-04-2017,April,2017,135920
Khammam,01-05-2017,May,2017,138799
Khammam,01-06-2017,June,2017,138158
Khammam,01-07-2017,July,2017,105102
Khammam,01-08-2017,August,2017,129159
Khammam,01-09-2017,September,2017,140821
Khammam,01-10-2017,October,2017,155943
Khammam,01-11-2017,November,2017,110800
Khammam,01-12-2017,December,2017,137825
Komaram Bheem Asifabad,01-01-2017,January,2017,2241
Komaram Bheem Asifabad,01-02-2017,February,2017,2490
Komaram Bheem Asifabad,01-03-2017,March,2017,2767
Komaram Bheem Asifabad,01-04-2017,April,2017,3074
Komaram Bheem Asifabad,01-05-2017,May,2017,3416
Komaram Bheem Asifabad,01-06-2017,June,2017,3796
Komaram Bheem Asifabad,01-07-2017,July,2017,3713
Komaram Bheem Asifabad,01-08-2017,August,2017,3665
Komaram Bheem Asifabad,01-09-2017,September,2017,3934
Komaram Bheem Asifabad,01-10-2017,October,2017,14050
Komaram Bheem Asifabad,01-11-2017,November,2017,3627
Komaram Bheem Asifabad,01-12-2017,December,2017,4218
Mahabubabad ,01-01-2017,January,2017,13260
Mahabubabad ,01-02-2017,February,2017,13045
Mahabubabad ,01-03-2017,March,2017,9100
Mahabubabad ,01-04-2017,April,2017,9140
Mahabubabad ,01-05-2017,May,2017,10220
Mahabubabad ,01-06-2017,June,2017,10130
Mahabubabad ,01-07-2017,July,2017,10170
Mahabubabad ,01-08-2017,August,2017,12520
Mahabubabad ,01-09-2017,September,2017,13140
Mahabubabad ,01-10-2017,October,2017,13750
Mahabubabad ,01-11-2017,November,2017,13560
Mahabubabad ,01-12-2017,December,2017,13780
Mahbubnagar,01-01-2017,January,2017,446135
Mahbubnagar,01-02-2017,February,2017,805392
Mahbubnagar,01-03-2017,March,2017,178256
Mahbubnagar,01-04-2017,April,2017,208694
Mahbubnagar,01-05-2017,May,2017,214209
Mahbubnagar,01-06-2017,June,2017,179210
Mahbubnagar,01-07-2017,July,2017,179099
Mahbubnagar,01-08-2017,August,2017,215229
Mahbubnagar,01-09-2017,September,2017,180675
Mahbubnagar,01-10-2017,October,2017,196103
Mahbubnagar,01-11-2017,November,2017,259060
Mahbubnagar,01-12-2017,December,2017,426167
Mancherial,01-01-2017,January,2017,2937
Mancherial,01-02-2017,February,2017,3130
Mancherial,01-03-2017,March,2017,2775
Mancherial,01-04-2017,April,2017,1513
Mancherial,01-05-2017,May,2017,1424
Mancherial,01-06-2017,June,2017,2119
Mancherial,01-07-2017,July,2017,33591
Mancherial,01-08-2017,August,2017,26104
Mancherial,01-09-2017,September,2017,24297
Mancherial,01-10-2017,October,2017,37671
Mancherial,01-11-2017,November,2017,25737
Mancherial,01-12-2017,December,2017,30328
Medak ,01-01-2017,January,2017,523000
Medak ,01-02-2017,February,2017,543321
Medak ,01-03-2017,March,2017,548535
Medak ,01-04-2017,April,2017,554864
Medak ,01-05-2017,May,2017,556891
Medak ,01-06-2017,June,2017,561469
Medak ,01-07-2017,July,2017,575300
Medak ,01-08-2017,August,2017,632830
Medak ,01-09-2017,September,2017,696113
Medak ,01-10-2017,October,2017,765724
Medak ,01-11-2017,November,2017,842296
Medak ,01-12-2017,December,2017,926526
Medchal ,01-01-2017,January,2017, 
Medchal ,01-02-2017,February,2017, 
Medchal ,01-03-2017,March,2017, 
Medchal ,01-04-2017,April,2017, 
Medchal ,01-05-2017,May,2017, 
Medchal ,01-06-2017,June,2017, 
Medchal ,01-07-2017,July,2017, 
Medchal ,01-08-2017,August,2017, 
Medchal ,01-09-2017,September,2017, 
Medchal ,01-10-2017,October,2017, 
Medchal ,01-11-2017,November,2017, 
Medchal ,01-12-2017,December,2017, 
Nagarkurnool ,01-01-2017,January,2017,382879
Nagarkurnool ,01-02-2017,February,2017,286258
Nagarkurnool ,01-03-2017,March,2017,184508
Nagarkurnool ,01-04-2017,April,2017,183697
Nagarkurnool ,01-05-2017,May,2017,183697
Nagarkurnool ,01-06-2017,June,2017,180010
Nagarkurnool ,01-07-2017,July,2017,180010
Nagarkurnool ,01-08-2017,August,2017,181861
Nagarkurnool ,01-09-2017,September,2017,118010
Nagarkurnool ,01-10-2017,October,2017,201050
Nagarkurnool ,01-11-2017,November,2017,188786
Nagarkurnool ,01-12-2017,December,2017,382879
Nalgonda,01-01-2017,January,2017,4447
Nalgonda,01-02-2017,February,2017,8652
Nalgonda,01-03-2017,March,2017,8054
Nalgonda,01-04-2017,April,2017,44295
Nalgonda,01-05-2017,May,2017,10750
Nalgonda,01-06-2017,June,2017,37879
Nalgonda,01-07-2017,July,2017,21361
Nalgonda,01-08-2017,August,2017,9363
Nalgonda,01-09-2017,September,2017,17465
Nalgonda,01-10-2017,October,2017,36066
Nalgonda,01-11-2017,November,2017,17687
Nalgonda,01-12-2017,December,2017,25897
Nirmal,01-01-2017,January,2017,340311
Nirmal,01-02-2017,February,2017,415326
Nirmal,01-03-2017,March,2017,442057
Nirmal,01-04-2017,April,2017,274132
Nirmal,01-05-2017,May,2017,297233
Nirmal,01-06-2017,June,2017,340359
Nirmal,01-07-2017,July,2017,328101
Nirmal,01-08-2017,August,2017,340430
Nirmal,01-09-2017,September,2017,528540
Nirmal,01-10-2017,October,2017,388644
Nirmal,01-11-2017,November,2017,369365
Nirmal,01-12-2017,December,2017,340585
Nizamabad,01-01-2017,January,2017,613
Nizamabad,01-02-2017,February,2017,1752
Nizamabad,01-03-2017,March,2017,660
Nizamabad,01-04-2017,April,2017,1048
Nizamabad,01-05-2017,May,2017,1341
Nizamabad,01-06-2017,June,2017,2391
Nizamabad,01-07-2017,July,2017,1520
Nizamabad,01-08-2017,August,2017,1583
Nizamabad,01-09-2017,September,2017,933
Nizamabad,01-10-2017,October,2017,6644
Nizamabad,01-11-2017,November,2017,1677
Nizamabad,01-12-2017,December,2017,1787
Peddapalli,01-01-2017,January,2017,1345
Peddapalli,01-02-2017,February,2017,1378
Peddapalli,01-03-2017,March,2017,965
Peddapalli,01-04-2017,April,2017,750
Peddapalli,01-05-2017,May,2017,640
Peddapalli,01-06-2017,June,2017,885
Peddapalli,01-07-2017,July,2017,1095
Peddapalli,01-08-2017,August,2017,1385
Peddapalli,01-09-2017,September,2017,1155
Peddapalli,01-10-2017,October,2017,1595
Peddapalli,01-11-2017,November,2017,1940
Peddapalli,01-12-2017,December,2017,1765
Rajanna Sircilla ,01-01-2017,January,2017,615842
Rajanna Sircilla ,01-02-2017,February,2017,1255569
Rajanna Sircilla ,01-03-2017,March,2017,1030441
Rajanna Sircilla ,01-04-2017,April,2017,1146782
Rajanna Sircilla ,01-05-2017,May,2017,1117228
Rajanna Sircilla ,01-06-2017,June,2017,1113882
Rajanna Sircilla ,01-07-2017,July,2017,462022
Rajanna Sircilla ,01-08-2017,August,2017,1004410
Rajanna Sircilla ,01-09-2017,September,2017,487060
Rajanna Sircilla ,01-10-2017,October,2017,845620
Rajanna Sircilla ,01-11-2017,November,2017,1191129
Rajanna Sircilla ,01-12-2017,December,2017,1649362
Ranga Reddy,01-01-2017,January,2017, 
Ranga Reddy,01-02-2017,February,2017, 
Ranga Reddy,01-03-2017,March,2017, 
Ranga Reddy,01-04-2017,April,2017, 
Ranga Reddy,01-05-2017,May,2017, 
Ranga Reddy,01-06-2017,June,2017, 
Ranga Reddy,01-07-2017,July,2017, 
Ranga Reddy,01-08-2017,August,2017, 
Ranga Reddy,01-09-2017,September,2017, 
Ranga Reddy,01-10-2017,October,2017, 
Ranga Reddy,01-11-2017,November,2017, 
Ranga Reddy,01-12-2017,December,2017, 
Sangareddy ,01-01-2017,January,2017,195000
Sangareddy ,01-02-2017,February,2017,140000
Sangareddy ,01-03-2017,March,2017,275000
Sangareddy ,01-04-2017,April,2017,215000
Sangareddy ,01-05-2017,May,2017,215000
Sangareddy ,01-06-2017,June,2017,180000
Sangareddy ,01-07-2017,July,2017,195000
Sangareddy ,01-08-2017,August,2017,295000
Sangareddy ,01-09-2017,September,2017,200000
Sangareddy ,01-10-2017,October,2017,232000
Sangareddy ,01-11-2017,November,2017,324500
Sangareddy ,01-12-2017,December,2017,356950
Siddipet,01-01-2017,January,2017,80500
Siddipet,01-02-2017,February,2017,80500
Siddipet,01-03-2017,March,2017,80500
Siddipet,01-04-2017,April,2017,80500
Siddipet,01-05-2017,May,2017,80500
Siddipet,01-06-2017,June,2017,60000
Siddipet,01-07-2017,July,2017,88550
Siddipet,01-08-2017,August,2017,97405
Siddipet,01-09-2017,September,2017,107146
Siddipet,01-10-2017,October,2017,117861
Siddipet,01-11-2017,November,2017,129647
Siddipet,01-12-2017,December,2017,142612
Suryapet,01-01-2017,January,2017,0
Suryapet,01-02-2017,February,2017,0
Suryapet,01-03-2017,March,2017,0
Suryapet,01-04-2017,April,2017,0
Suryapet,01-05-2017,May,2017,0
Suryapet,01-06-2017,June,2017,0
Suryapet,01-07-2017,July,2017,0
Suryapet,01-08-2017,August,2017,0
Suryapet,01-09-2017,September,2017,0
Suryapet,01-10-2017,October,2017,0
Suryapet,01-11-2017,November,2017,0
Suryapet,01-12-2017,December,2017,0
Vikarabad,01-01-2017,January,2017, 
Vikarabad,01-02-2017,February,2017, 
Vikarabad,01-03-2017,March,2017, 
Vikarabad,01-04-2017,April,2017, 
Vikarabad,01-05-2017,May,2017, 
Vikarabad,01-06-2017,June,2017, 
Vikarabad,01-07-2017,July,2017, 
Vikarabad,01-08-2017,August,2017, 
Vikarabad,01-09-2017,September,2017, 
Vikarabad,01-10-2017,October,2017, 
Vikarabad,01-11-2017,November,2017, 
Vikarabad,01-12-2017,December,2017, 
Wanaparthy ,01-01-2017,January,2017,22152
Wanaparthy ,01-02-2017,February,2017,22342
Wanaparthy ,01-03-2017,March,2017,20050
Wanaparthy ,01-04-2017,April,2017,11502
Wanaparthy ,01-05-2017,May,2017,11502
Wanaparthy ,01-06-2017,June,2017,19092
Wanaparthy ,01-07-2017,July,2017,19092
Wanaparthy ,01-08-2017,August,2017,21375
Wanaparthy ,01-09-2017,September,2017,35860
Wanaparthy ,01-10-2017,October,2017,21234
Wanaparthy ,01-11-2017,November,2017,18348
Wanaparthy ,01-12-2017,December,2017,22152
Warangal (Rural),01-01-2017,January,2017,8000
Warangal (Rural),01-02-2017,February,2017,8300
Warangal (Rural),01-03-2017,March,2017,7800
Warangal (Rural),01-04-2017,April,2017,7600
Warangal (Rural),01-05-2017,May,2017,8500
Warangal (Rural),01-06-2017,June,2017,9000
Warangal (Rural),01-07-2017,July,2017,13600
Warangal (Rural),01-08-2017,August,2017,13650
Warangal (Rural),01-09-2017,September,2017,13800
Warangal (Rural),01-10-2017,October,2017,16500
Warangal (Rural),01-11-2017,November,2017,16300
Warangal (Rural),01-12-2017,December,2017,21200
Warangal (Urban),01-01-2017,January,2017,130608
Warangal (Urban),01-02-2017,February,2017,126608
Warangal (Urban),01-03-2017,March,2017,118298
Warangal (Urban),01-04-2017,April,2017,107133
Warangal (Urban),01-05-2017,May,2017,109915
Warangal (Urban),01-06-2017,June,2017,111530
Warangal (Urban),01-07-2017,July,2017,116545
Warangal (Urban),01-08-2017,August,2017,116810
Warangal (Urban),01-09-2017,September,2017,117150
Warangal (Urban),01-10-2017,October,2017,119255
Warangal (Urban),01-11-2017,November,2017,119360
Warangal (Urban),01-12-2017,December,2017,126790
Yadadri Bhongir,01-01-2017,January,2017,678000
Yadadri Bhongir,01-02-2017,February,2017,540500
Yadadri Bhongir,01-03-2017,March,2017,525588
Yadadri Bhongir,01-04-2017,April,2017,570000
Yadadri Bhongir,01-05-2017,May,2017,458700
Yadadri Bhongir,01-06-2017,June,2017,685880
Yadadri Bhongir,01-07-2017,July,2017,481240
Yadadri Bhongir,01-08-2017,August,2017,680720
Yadadri Bhongir,01-09-2017,September,2017,678925
Yadadri Bhongir,01-10-2017,October,2017,683500
Yadadri Bhongir,01-11-2017,November,2017,537600
Yadadri Bhongir,01-12-2017,December,2017,481075
