district,date,month,year,visitors
Karimnagar ,01-09-2019,September,2019,8735
Karimnagar ,01-10-2019,October,2019,6799
Karimnagar ,01-11-2019,November,2019,7101
Karimnagar ,01-12-2019,December,2019,7898
Khammam,01-01-2019,January,2019,123550
Khammam,01-02-2019,February,2019,98471
Khammam,01-03-2019,March,2019,91340
Khammam,01-04-2019,April,2019,135920
Khammam,01-05-2019,May,2019,130971
Khammam,01-06-2019,June,2019,127270
Khammam,01-07-2019,July,2019,103260
Khammam,01-08-2019,August,2019,111374
Khammam,01-09-2019,September,2019,133754
Khammam,01-10-2019,October,2019,128625
Khammam,01-11-2019,November,2019,104380
Khammam,01-12-2019,December,2019,124525
Komaram Bheem Asifabad,01-01-2019,January,2019,2476
Komaram Bheem Asifabad,01-02-2019,February,2019,1449
Komaram Bheem Asifabad,01-03-2019,March,2019,1212
Komaram Bheem Asifabad,01-04-2019,April,2019,663
Komaram Bheem Asifabad,01-05-2019,May,2019,493
Komaram Bheem Asifabad,01-06-2019,June,2019,506
Komaram Bheem Asifabad,01-07-2019,July,2019,1287
Komaram Bheem Asifabad,01-08-2019,August,2019,2572
Komaram Bheem Asifabad,01-09-2019,September,2019,1629
Komaram Bheem Asifabad,01-10-2019,October,2019,1943
Komaram Bheem Asifabad,01-11-2019,November,2019,2176
Komaram Bheem Asifabad,01-12-2019,December,2019,2783
Mahabubabad ,01-01-2019,January,2019,13480
Mahabubabad ,01-02-2019,February,2019,13545
Mahabubabad ,01-03-2019,March,2019,13490
Mahabubabad ,01-04-2019,April,2019,12980
Mahabubabad ,01-05-2019,May,2019,11970
Mahabubabad ,01-06-2019,June,2019,11460
Mahabubabad ,01-07-2019,July,2019,13470
Mahabubabad ,01-08-2019,August,2019,12190
Mahabubabad ,01-09-2019,September,2019,13210
Mahabubabad ,01-10-2019,October,2019,12260
Mahabubabad ,01-11-2019,November,2019,12470
Mahabubabad ,01-12-2019,December,2019,12360
Mahbubnagar,01-01-2019,January,2019,168082
Mahbubnagar,01-02-2019,February,2019,798949
Mahbubnagar,01-03-2019,March,2019,173658
Mahbubnagar,01-04-2019,April,2019,183268
Mahbubnagar,01-05-2019,May,2019,175202
Mahbubnagar,01-06-2019,June,2019,175853
Mahbubnagar,01-07-2019,July,2019,100398
Mahbubnagar,01-08-2019,August,2019,104787
Mahbubnagar,01-09-2019,September,2019,141387
Mahbubnagar,01-10-2019,October,2019,130227
Mahbubnagar,01-11-2019,November,2019,234066
Mahbubnagar,01-12-2019,December,2019,148938
Mancherial,01-01-2019,January,2019,18420
Mancherial,01-02-2019,February,2019,26325
Mancherial,01-03-2019,March,2019,16253
Mancherial,01-04-2019,April,2019,23026
Mancherial,01-05-2019,May,2019,26616
Mancherial,01-06-2019,June,2019,24593
Mancherial,01-07-2019,July,2019,22303
Mancherial,01-08-2019,August,2019,21191
Mancherial,01-09-2019,September,2019,24079
Mancherial,01-10-2019,October,2019,20867
Mancherial,01-11-2019,November,2019,29302
Mancherial,01-12-2019,December,2019,16835
Medak ,01-01-2019,January,2019,400000
Medak ,01-02-2019,February,2019,600000
Medak ,01-03-2019,March,2019,1000000
Medak ,01-04-2019,April,2019,650000
Medak ,01-05-2019,May,2019,400000
Medak ,01-06-2019,June,2019,300000
Medak ,01-07-2019,July,2019,350000
Medak ,01-08-2019,August,2019,349900
Medak ,01-09-2019,September,2019,350400
Medak ,01-10-2019,October,2019,350000
Medak ,01-11-2019,November,2019,351560
Medak ,01-12-2019,December,2019,350710
Medchal ,01-01-2019,January,2019, 
Medchal ,01-02-2019,February,2019, 
Medchal ,01-03-2019,March,2019, 
Medchal ,01-04-2019,April,2019, 
Medchal ,01-05-2019,May,2019, 
Medchal ,01-06-2019,June,2019, 
Medchal ,01-07-2019,July,2019, 
Medchal ,01-08-2019,August,2019, 
Medchal ,01-09-2019,September,2019, 
Medchal ,01-10-2019,October,2019, 
Medchal ,01-11-2019,November,2019, 
Medchal ,01-12-2019,December,2019, 
Mulugu,01-01-2019,January,2019,0
Mulugu,01-02-2019,February,2019,159640
Mulugu,01-03-2019,March,2019,156610
Mulugu,01-04-2019,April,2019,152570
Mulugu,01-05-2019,May,2019,154550
Mulugu,01-06-2019,June,2019,163480
Mulugu,01-07-2019,July,2019,167700
Mulugu,01-08-2019,August,2019,171050
Mulugu,01-09-2019,September,2019,172900
Mulugu,01-10-2019,October,2019,172500
Mulugu,01-11-2019,November,2019,173700
Mulugu,01-12-2019,December,2019,175100
Nagarkurnool ,01-01-2019,January,2019,228812
Nagarkurnool ,01-02-2019,February,2019,286258
Nagarkurnool ,01-03-2019,March,2019,184508
Nagarkurnool ,01-04-2019,April,2019,121460
Nagarkurnool ,01-05-2019,May,2019,184372
Nagarkurnool ,01-06-2019,June,2019,184508
Nagarkurnool ,01-07-2019,July,2019,93450
Nagarkurnool ,01-08-2019,August,2019,118010
Nagarkurnool ,01-09-2019,September,2019,175712
Nagarkurnool ,01-10-2019,October,2019,196160
Nagarkurnool ,01-11-2019,November,2019,121425
Nagarkurnool ,01-12-2019,December,2019,198637
Nalgonda,01-01-2019,January,2019,21284
Nalgonda,01-02-2019,February,2019,13697
Nalgonda,01-03-2019,March,2019,8467
Nalgonda,01-04-2019,April,2019,7202
Nalgonda,01-05-2019,May,2019,26338
Nalgonda,01-06-2019,June,2019,5558
Nalgonda,01-07-2019,July,2019,19783
Nalgonda,01-08-2019,August,2019,7473
Nalgonda,01-09-2019,September,2019,5230
Nalgonda,01-10-2019,October,2019,5290
Nalgonda,01-11-2019,November,2019,7177
Nalgonda,01-12-2019,December,2019,13419
Narayanapet,01-01-2019,January,2019,
Narayanapet,01-02-2019,February,2019,
Narayanapet,01-03-2019,March,2019,
Narayanapet,01-04-2019,April,2019,
Narayanapet,01-05-2019,May,2019,
Narayanapet,01-06-2019,June,2019,
Narayanapet,01-07-2019,July,2019,68842
Narayanapet,01-08-2019,August,2019,72249
Narayanapet,01-09-2019,September,2019,62841
Narayanapet,01-10-2019,October,2019,58213
Narayanapet,01-11-2019,November,2019,62750
Narayanapet,01-12-2019,December,2019,64355
Nirmal,01-01-2019,January,2019,313675
Nirmal,01-02-2019,February,2019,443898
Nirmal,01-03-2019,March,2019,424964
Nirmal,01-04-2019,April,2019,327971
Nirmal,01-05-2019,May,2019,149705
Nirmal,01-06-2019,June,2019,349747
Nirmal,01-07-2019,July,2019,359495
Nirmal,01-08-2019,August,2019,334646
Nirmal,01-09-2019,September,2019,299827
Nirmal,01-10-2019,October,2019,263412
Nirmal,01-11-2019,November,2019,253388
Nirmal,01-12-2019,December,2019,296050
Nizamabad,01-01-2019,January,2019,878
Nizamabad,01-02-2019,February,2019,915
Nizamabad,01-03-2019,March,2019,938
Nizamabad,01-04-2019,April,2019,958
Nizamabad,01-05-2019,May,2019,1193
Nizamabad,01-06-2019,June,2019,686
Nizamabad,01-07-2019,July,2019,990
Nizamabad,01-08-2019,August,2019,1004
Nizamabad,01-09-2019,September,2019,6572
Nizamabad,01-10-2019,October,2019,8849
Nizamabad,01-11-2019,November,2019,11950
Nizamabad,01-12-2019,December,2019,11400
Peddapalli,01-01-2019,January,2019,1055
Peddapalli,01-02-2019,February,2019,1157
Peddapalli,01-03-2019,March,2019,895
Peddapalli,01-04-2019,April,2019,942
Peddapalli,01-05-2019,May,2019,802
Peddapalli,01-06-2019,June,2019,735
Peddapalli,01-07-2019,July,2019,1085
Peddapalli,01-08-2019,August,2019,1505
Peddapalli,01-09-2019,September,2019,1785
Peddapalli,01-10-2019,October,2019,2080
Peddapalli,01-11-2019,November,2019,2225
Peddapalli,01-12-2019,December,2019,2315
Rajanna Sircilla ,01-01-2019,January,2019,6188298
Rajanna Sircilla ,01-02-2019,February,2019,1015550
Rajanna Sircilla ,01-03-2019,March,2019,1444971
Rajanna Sircilla ,01-04-2019,April,2019,1148062
Rajanna Sircilla ,01-05-2019,May,2019,1018131
Rajanna Sircilla ,01-06-2019,June,2019,1128849
Rajanna Sircilla ,01-07-2019,July,2019,422961
Rajanna Sircilla ,01-08-2019,August,2019,586118
Rajanna Sircilla ,01-09-2019,September,2019,501293
Rajanna Sircilla ,01-10-2019,October,2019,646492
Rajanna Sircilla ,01-11-2019,November,2019,1259371
Rajanna Sircilla ,01-12-2019,December,2019,1472801
Ranga Reddy,01-01-2019,January,2019, 
Ranga Reddy,01-02-2019,February,2019, 
Ranga Reddy,01-03-2019,March,2019, 
Ranga Reddy,01-04-2019,April,2019, 
Ranga Reddy,01-05-2019,May,2019, 
Ranga Reddy,01-06-2019,June,2019, 
Ranga Reddy,01-07-2019,July,2019, 
Ranga Reddy,01-08-2019,August,2019, 
Ranga Reddy,01-09-2019,September,2019, 
Ranga Reddy,01-10-2019,October,2019, 
Ranga Reddy,01-11-2019,November,2019, 
Ranga Reddy,01-12-2019,December,2019, 
Sangareddy ,01-01-2019,January,2019,144000
Sangareddy ,01-02-2019,February,2019,148000
Sangareddy ,01-03-2019,March,2019,747000
Sangareddy ,01-04-2019,April,2019,205000
Sangareddy ,01-05-2019,May,2019,133000
Sangareddy ,01-06-2019,June,2019,347000
Sangareddy ,01-07-2019,July,2019,467000
Sangareddy ,01-08-2019,August,2019,466150
Sangareddy ,01-09-2019,September,2019,468350
Sangareddy ,01-10-2019,October,2019,467470
Sangareddy ,01-11-2019,November,2019,481720
Sangareddy ,01-12-2019,December,2019,478470
Siddipet,01-01-2019,January,2019,140793
Siddipet,01-02-2019,February,2019,199549
Siddipet,01-03-2019,March,2019,204600
Siddipet,01-04-2019,April,2019,184412
Siddipet,01-05-2019,May,2019,110500
Siddipet,01-06-2019,June,2019,1037000
Siddipet,01-07-2019,July,2019,179320
Siddipet,01-08-2019,August,2019,190750
Siddipet,01-09-2019,September,2019,122550
Siddipet,01-10-2019,October,2019,191330
Siddipet,01-11-2019,November,2019,209130
Siddipet,01-12-2019,December,2019,217930
Suryapet,01-01-2019,January,2019,
Suryapet,01-02-2019,February,2019,
Suryapet,01-03-2019,March,2019,
Suryapet,01-04-2019,April,2019,
Suryapet,01-05-2019,May,2019,
Suryapet,01-06-2019,June,2019,
Suryapet,01-07-2019,July,2019,
Suryapet,01-08-2019,August,2019,
Suryapet,01-09-2019,September,2019,
Suryapet,01-10-2019,October,2019,
Suryapet,01-11-2019,November,2019,
Suryapet,01-12-2019,December,2019,
Vikarabad,01-01-2019,January,2019, 
Vikarabad,01-02-2019,February,2019, 
Vikarabad,01-03-2019,March,2019, 
Vikarabad,01-04-2019,April,2019, 
Vikarabad,01-05-2019,May,2019, 
Vikarabad,01-06-2019,June,2019, 
Vikarabad,01-07-2019,July,2019, 
Vikarabad,01-08-2019,August,2019, 
Vikarabad,01-09-2019,September,2019, 
Vikarabad,01-10-2019,October,2019, 
Vikarabad,01-11-2019,November,2019, 
Vikarabad,01-12-2019,December,2019, 
Wanaparthy ,01-01-2019,January,2019,28131
Wanaparthy ,01-02-2019,February,2019,22342
Wanaparthy ,01-03-2019,March,2019,20050
Wanaparthy ,01-04-2019,April,2019,23749
Wanaparthy ,01-05-2019,May,2019,20010
Wanaparthy ,01-06-2019,June,2019,20050
Wanaparthy ,01-07-2019,July,2019,32625
Wanaparthy ,01-08-2019,August,2019,35860
Wanaparthy ,01-09-2019,September,2019,21375
Wanaparthy ,01-10-2019,October,2019,21234
Wanaparthy ,01-11-2019,November,2019,32657
Wanaparthy ,01-12-2019,December,2019,20556
Warangal (Rural),01-01-2019,January,2019,28700
Warangal (Rural),01-02-2019,February,2019,28800
Warangal (Rural),01-03-2019,March,2019,29000
Warangal (Rural),01-04-2019,April,2019,26900
Warangal (Rural),01-05-2019,May,2019,24900
Warangal (Rural),01-06-2019,June,2019,27100
Warangal (Rural),01-07-2019,July,2019,28600
Warangal (Rural),01-08-2019,August,2019,31600
Warangal (Rural),01-09-2019,September,2019,32600
Warangal (Rural),01-10-2019,October,2019,31100
Warangal (Rural),01-11-2019,November,2019,32150
Warangal (Rural),01-12-2019,December,2019,32050
Warangal (Urban),01-01-2019,January,2019,151545
Warangal (Urban),01-02-2019,February,2019,157755
Warangal (Urban),01-03-2019,March,2019,154305
Warangal (Urban),01-04-2019,April,2019,150425
Warangal (Urban),01-05-2019,May,2019,143230
Warangal (Urban),01-06-2019,June,2019,144400
Warangal (Urban),01-07-2019,July,2019,145440
Warangal (Urban),01-08-2019,August,2019,148030
Warangal (Urban),01-09-2019,September,2019,151070
Warangal (Urban),01-10-2019,October,2019,147450
Warangal (Urban),01-11-2019,November,2019,153880
Warangal (Urban),01-12-2019,December,2019,147700
Yadadri Bhongir,01-01-2019,January,2019,479293
Yadadri Bhongir,01-02-2019,February,2019,56525
Yadadri Bhongir,01-03-2019,March,2019,481923
Yadadri Bhongir,01-04-2019,April,2019,441150
Yadadri Bhongir,01-05-2019,May,2019,345790
Yadadri Bhongir,01-06-2019,June,2019,370566
Yadadri Bhongir,01-07-2019,July,2019,332770
Yadadri Bhongir,01-08-2019,August,2019,389010
Yadadri Bhongir,01-09-2019,September,2019,366862
Yadadri Bhongir,01-10-2019,October,2019,381860
Yadadri Bhongir,01-11-2019,November,2019,365990
Yadadri Bhongir,01-12-2019,December,2019,477635
